CODE,STATE_CODE,STATE_NAME,POPULATION,AREA,COUNT
AL,1,Alabama,96.8,135765,16214
AK,2,Alaska,1.3,1717854,1526
AZ,4,Arizona,64.1,295254,8314
AR,5,Arkansas,58,137732,12996
CA,6,California,253.7,423970,26555
CO,8,Colorado,55.6,269601,9000
CT,9,Connecticut,736.6,14357,4294
DE,10,Delaware,499.6,6447,952
DC,11,District of Columbia,11569.7,176.75,245
FL,12,Florida,400.7,170304,12469
GA,13,Georgia,184.6,153909,15302
HI,15,Hawaii,220.3,28311,1205
ID,16,Idaho,21.6,216446,4445
IL,17,Illinois,228.2,149998,27784
IN,18,Indiana,187.9,94321,19335
IA,19,Iowa,56.6,145743,24184
KS,20,Kansas,35.6,213096,25055
KY,21,Kentucky,113.1,104659,14640
LA,22,Louisiana,107.6,134264,13057
ME,23,Maine,43.6,91646,2528
MD,24,Maryland,622.9,32133,5360
MA,25,Massachusetts,883.5,27336,5195
MI,26,Michigan,176.7,250494,11757
MN,27,Minnesota,70.8,225171,13571
MS,28,Mississippi,63.4,125434,17155
MO,29,Missouri,89.3,180533,24493
MT,30,Montana,7.3,380838,5277
NE,31,Nebraska,25.2,200356,15499
NV,32,Nevada,28.1,286351,1933
NH,33,New Hampshire,151.9,24216,3917
NJ,34,New Jersey,1207.8,22588,6737
NM,35,New Mexico,17.3,314915,4022
NY,36,New York,412.8,141299,18717
NC,37,North Carolina,215.7,139389,18540
ND,38,North Dakota,11,183112,4413
OH,39,Ohio,286.1,116096,29160
OK,40,Oklahoma,57.7,181035,23260
OR,41,Oregon,43.9,254805,8170
PA,42,Pennsylvania,286.1,119283,22793
RI,44,Rhode Island,1024.5,4002,772
SC,45,South Carolina,171.2,82932,9479
SD,46,South Dakora,11.7,199742,5867
TN,47,Tennessee,165.6,109151,20766
TX,48,Texas,111,695621,54346
UT,49,Utah,39,219887,3115
VT,50,Vermont,67.7,24901,2842
VA,51,Virginia,216.1,110785,13902
WA,53,Washington,114.6,184665,8465
WV,54,West Virginia,74.6,62755,7558
WI,55,Wisconsin,107.5,169639,14627
WY,56,Wyoming,6,253336,3174
PR,72,Puerto Rico,932.7,9104,2309
