STATE_CODE,AVERAGE,CODE
1,1834.195503,AL
2,89.05652174,AK
4,158.5264584,AZ
5,265.3054871,AR
6,3200.476555,CA
8,265.5576968,CO
9,3636.281746,CT
10,2045.25816,DE
11,3177.051643,DC
12,221.6285174,FL
13,2959.348484,GA
15,1019.389388,HI
16,1443.002566,ID
17,3610.137652,IL
18,280.969322,IN
19,47.85714286,IA
20,159.5379797,KS
21,192.3278607,KY
22,1392.013984,LA
23,13105.0382,ME
24,1057.79078,MD
25,3771.531702,MA
26,4290.892227,MI
27,623.3350849,MN
28,9648.1767,MS
29,904.2956078,MO
30,3749.480186,MT
31,80.93257694,NE
32,545.8619677,NV
33,3121.443404,NH
34,2384.422031,NJ
35,442.0487515,NM
36,4324.189666,NY
37,1.968020361,NC
38,60.71425277,ND
39,1106.152502,OH
40,978.5821899,OK
41,478.4833518,OR
42,0.587397787,PA
44,3804.030261,RI
45,95.46098452,SC
46,252.1377832,SD
47,1218.06483,TN
48,260.1634225,TX
49,65.58941676,UT
50,1097.419664,VT
51,660.3467271,VA
53,432.1149485,WA
54,381.6621775,WV
55,113.6988793,WI
56,206.6419952,WY
72,623.9621575,PR
